sample,local_idx,sample_idx,method,reference,Vs1,H,CoV,Vs2,rel_l2_low,rel_l2_low_central,rel_l2_mid,rel_l2_mid_central,rel_l2_high,rel_l2_high_central,rel_l2_all,rel_l2_all_central
0,39,333,GINO,OpenSees 2-D,158.22102378729463,32.0,0.2937549220398068,1194.9507193914058,0.1251905275685659,0.0880403997117466,0.3143201710739482,0.306369117660321,0.5357099961775469,0.3212291747414523,0.3850949197555444,0.2997918208249744
0,39,333,1D Base Case,OpenSees 2-D,158.22102378729463,32.0,0.2937549220398068,1194.9507193914058,0.0097144778597171,0.0131472501389108,0.3929286554373241,0.5805832659619392,0.5030892183473297,0.3273262142245309,0.416527724517593,0.487440806097625
0,39,333,Pretell's approach,OpenSees 2-D,158.22102378729463,32.0,0.2937549220398068,1194.9507193914058,0.0082920158037317,0.0098272210187759,0.5717549349571619,0.8846306542731142,0.4273934728376052,0.3379592656351038,0.5145455951262754,0.71360969665613
0,39,333,Toro Vs,OpenSees 2-D,158.22102378729463,32.0,0.2937549220398068,1194.9507193914058,0.0185746654788971,0.0185746654788971,0.2485430684016602,0.2485430684016602,0.4199960394521385,0.4199960394521385,0.304832068605425,0.304832068605425
0,39,333,Passeri tts,OpenSees 2-D,158.22102378729463,32.0,0.2937549220398068,1194.9507193914058,0.0131695664174018,0.0131695664174018,0.545235570885147,0.545235570885147,0.3239256295582195,0.3239256295582195,0.4613400828640329,0.4613400828640329
0,39,333,Pretell,OpenSees 2-D,158.22102378729463,32.0,0.2937549220398068,1194.9507193914058,0.0198487721396203,0.0198487721396203,0.3836670712638217,0.3836670712638217,0.3914899567270029,0.3914899567270029,0.3705491601583152,0.3705491601583152
1,339,2655,GINO,OpenSees 2-D,228.34419907752724,53.0,0.1308274684473872,1106.143249038946,0.0764706393147288,0.0827859421098476,0.1763143241729766,0.1324913101399367,0.2799288566430669,0.1741948686079098,0.2022950016211961,0.1415471278722765
1,339,2655,1D Base Case,OpenSees 2-D,228.34419907752724,53.0,0.1308274684473872,1106.143249038946,0.0063536910739222,0.0032180702848557,0.2091714103028968,0.1762994079490162,0.5338757020150869,0.4501060542595639,0.3124310494420104,0.2639751999015866
1,339,2655,Pretell's approach,OpenSees 2-D,228.34419907752724,53.0,0.1308274684473872,1106.143249038946,0.0068919101273108,0.0025334332514047,0.3235204100464964,0.2625554940009237,0.4115487481467518,0.2418362839974443,0.3392902747783082,0.2514566964479279
1,339,2655,Toro Vs,OpenSees 2-D,228.34419907752724,53.0,0.1308274684473872,1106.143249038946,0.0047762824580909,0.0047762824580909,0.480116090431301,0.480116090431301,0.5603070099339889,0.5603070099339889,0.4889710950811863,0.4889710950811863
1,339,2655,Passeri tts,OpenSees 2-D,228.34419907752724,53.0,0.1308274684473872,1106.143249038946,0.0031829059094433,0.0031829059094433,0.1895913490183952,0.1895913490183952,0.4518311395894599,0.4518311395894599,0.2711886666605851,0.2711886666605851
1,339,2655,Pretell,OpenSees 2-D,228.34419907752724,53.0,0.1308274684473872,1106.143249038946,0.0024350799071024,0.0024350799071024,0.0759648744482889,0.0759648744482889,0.3249016714616514,0.3249016714616514,0.1697430721224499,0.1697430721224499
2,188,1399,GINO,OpenSees 2-D,189.7341404244504,24.0,0.2855846079066395,895.9073790000466,0.1385370386269976,0.1150762593362448,0.2303200715950222,0.1987257797396709,0.438792733352829,0.4352085184726802,0.2954952398718919,0.2626755861629335
