sample,local_idx,sample_idx,rf_seed,Vs1,H,CoV,Vs2,f0,reference,method,f_peak,A_peak,delta_f_peak,delta_ln_A_peak,gof_af,rel_l2,pearson,sigma_ln_spatial_mean
3,403,3229,5719993,130.42607289849633,83.0,0.2976677659898996,943.9792966622842,0.3928496171641455,OpenSees 2-D,Passeri tts,0.3931828737258911,11.897515374170943,0.036277949810028,-0.530036257603333,0.4321728059544667,0.6451334482931926,0.603863626795502,
3,403,3229,5719993,130.42607289849633,83.0,0.2976677659898996,943.9792966622842,0.3928496171641455,OpenSees 2-D,Pretell,0.3471686840057373,8.887529369293754,-0.0097362399101257,-0.8217167441484549,0.2576987017995559,0.4861788173684972,0.8681654972463945,
4,525,4086,423462,156.93329174337424,57.0,0.2096807096153497,1044.7896507387577,0.6883039111551502,OpenSees 2-D,OpenSees 2-D,0.6528521180152893,13.826223373413086,0.0,0.0,0.0,0.0,1.0,0.1926779486314724
4,525,4086,423462,156.93329174337424,57.0,0.2096807096153497,1044.7896507387577,0.6883039111551502,OpenSees 2-D,GINO,0.6350424885749817,6.899884223937988,-0.0178096294403076,-0.6950624011098381,0.1341830027552649,0.3561429079302312,0.9054160457001208,0.1150220377794837
4,525,4086,423462,156.93329174337424,57.0,0.2096807096153497,1044.7896507387577,0.6883039111551502,OpenSees 2-D,1D Base Case,0.6899837255477905,12.763340950012209,0.0371316075325012,-0.0799899598494301,0.1250370926515073,0.3689844991550098,0.8657542730330148,6.608967003134311e-17
4,525,4086,423462,156.93329174337424,57.0,0.2096807096153497,1044.7896507387577,0.6883039111551502,OpenSees 2-D,Pretell's approach,0.6963744759559631,14.593951225280762,0.0435223579406738,0.0540401097973216,0.1347490229797807,0.4658886992716405,0.8093960911062308,0.2082111091924225
4,525,4086,423462,156.93329174337424,57.0,0.2096807096153497,1044.7896507387577,0.6883039111551502,OpenSees 2-D,Toro Vs,0.6650018095970154,5.335878830803838,0.012149691581726,-0.9521134329477088,0.1458924367155663,0.4422993334023485,0.8316876893386269,
4,525,4086,423462,156.93329174337424,57.0,0.2096807096153497,1044.7896507387577,0.6883039111551502,OpenSees 2-D,Passeri tts,0.6899837255477905,11.895771650849984,0.0371316075325012,-0.1503840199156969,0.1249106090795899,0.3575339782090076,0.8708736604392159,
4,525,4086,423462,156.93329174337424,57.0,0.2096807096153497,1044.7896507387577,0.6883039111551502,OpenSees 2-D,Pretell,0.6650018095970154,9.400170279446217,0.012149691581726,-0.3858392294862681,0.0879630094173742,0.2346719759590146,0.9484840462223078,
5,189,1405,8743143,189.7341404244504,24.0,0.2855846079066395,895.9073790000466,1.976397296088025,OpenSees 2-D,OpenSees 2-D,1.6796748638153076,21.05353164672852,0.0,0.0,0.0,0.0,1.0,0.166835093771004
5,189,1405,8743143,189.7341404244504,24.0,0.2855846079066395,895.9073790000466,1.976397296088025,OpenSees 2-D,GINO,1.7347593307495115,12.108892440795898,0.0550844669342041,-0.5531282250980156,0.1971005017597813,0.3758944590214298,0.9232288294207254,0.1498913908343366
5,189,1405,8743143,189.7341404244504,24.0,0.2855846079066395,895.9073790000466,1.976397296088025,OpenSees 2-D,1D Base Case,1.9828839302062988,12.756364822387695,0.3032090663909912,-0.501037971446665,0.3586510432288613,0.7582643434048605,0.4311804850760533,6.019560225405494e-17
5,189,1405,8743143,189.7341404244504,24.0,0.2855846079066395,895.9073790000466,1.976397296088025,OpenSees 2-D,Pretell's approach,1.5459277629852295,14.37796401977539,-0.1337471008300781,-0.3813715621386008,0.167061149184323,0.5832331607748068,0.7002191052546723,0.1934538698690982
