feature,mean_abs_shap
f_star,0.6277350551520459
CoV,0.05826580637700603
vs_surface,0.025344804081873232
vs_norm_deep,0.021482835831074718
log_f,0.02130549468372525
vs_norm_std,0.019035437476032875
x_over_lambda,0.0187331065909249
cos_f,0.018188254677189195
vs_lat_grad,0.0169588158011052
vs_norm_surf,0.015156735511421358
vs_rf_rms,0.01301675343229014
vs_norm_mid,0.008603823612437214
vs_macro_mean,0.008219699149137533
sin_f,0.007783162935536457
vs_norm_mean,0.0051621824498108105
z_mean,0.005012339802634207
H,0.004687742646514664
x_trunk,0.003004601068185756
x_grid,0.002723772416666197
zeta_norm_std,0.0
zeta_norm_mean,0.0
