feature,perm_importance_mean,perm_importance_std,rf_gini_importance
f_star,1.096599764023661,0.012312571207898231,0.5696499696347541
cos_f,0.04532105743361895,0.008633215008423506,0.01691031048253682
xi_4_re,0.0075584166712434064,0.00277799809590984,0.023489977407487945
sin_f,0.0072474087738713,0.0013407121037567074,0.0113736576879294
xi_8_im,0.006298994337642816,0.0022474723920948413,0.02372283674150943
x_over_lambda,0.005671653599964388,0.0029849471981131044,0.01855715215652186
xi_7_re,0.005093454298435074,0.0013644512927029526,0.022617685301222604
xi_2_re,0.003964046410416677,0.001383103341863333,0.01710622929252093
xi_1_re,0.0033782847422831664,0.0016287711113258138,0.017433677378784068
xi_2_im,0.0032487576760218293,0.0006317901044211173,0.016042719346196374
dist_edge,0.003216207301039964,0.0023726977193318983,0.024379757378058566
imp_grad,0.0025288568422354497,0.0012776714632340563,0.023411869763700587
xi_8_re,0.0022516714285202855,0.0013333923426995093,0.024447688741381594
xi_7_im,0.002210367096805499,0.0010165071551100037,0.02008738626782989
xi_4_im,0.0017201792102720325,0.00042446416988568434,0.014079697741348646
xi_3_re,0.0016592255869155026,0.0016247320016164113,0.020619696833636226
xi_6_im,0.0015092105728867545,0.001130784577238145,0.01581129807123448
xi_3_im,0.001129510806701095,0.0013562349249428575,0.019458639215991405
xi_1_im,0.0010353741413353101,0.0011446625750145033,0.01827874761351862
xi_5_im,0.0009753348207578894,0.0008817198130746957,0.018259871034253708
xi_6_re,0.0008127477488589441,0.0006742870370390106,0.01767353053356217
x_over_L,0.000157045172474779,0.00028298688093654235,0.009536252031891141
r_H,0.00010259210870180446,0.0012433324752934261,0.01786316563465044
dip_slope,-1.1102230246251566e-17,3.33066907387547e-17,0.0
xi_5_re,-0.0009224879615599479,0.0007873659024348882,0.019188183709478935
