feature,perm_importance_mean,perm_importance_std,rf_gini_importance
log_f,0.357264278765005,0.0075867290680232645,0.26841260368716174
z_mean,0.21558058608947447,0.005815070432666755,0.1661035286554721
vs_surface,0.12168846206494495,0.0040288983880216464,0.19476802277384384
vs_norm_mean,0.06381014642901574,0.003054107482765095,0.16667054991074715
vs_norm_std,0.031474833235978036,0.005681562201028147,0.13912790276283515
zeta_norm_std,0.0,0.0,0.0
zeta_norm_mean,0.0,0.0,0.0
x_grid,-0.0003723657652130563,0.0009173303176458271,0.03185207577278664
x_trunk,-0.001494320958111539,0.0008446481903591956,0.03306531643715339
