sample,local_idx,sample_idx,method,reference,Vs1,H,CoV,Vs2,rel_l2_low,rel_l2_low_central,rel_l2_mid,rel_l2_mid_central,rel_l2_high,rel_l2_high_central,rel_l2_all,rel_l2_all_central
0,39,333,GINO,OpenSees 2-D,158.22102378729463,32.0,0.2937549220398068,1194.9507193914058,0.1251905275685659,0.0880403997117466,0.3143201710739482,0.306369117660321,0.5357099961775469,0.3212291747414523,0.3850949197555444,0.2997918208249744
0,39,333,1D Base Case,OpenSees 2-D,158.22102378729463,32.0,0.2937549220398068,1194.9507193914058,0.0097144778597171,0.0131472501389108,0.3929286554373241,0.5805832659619392,0.5030892183473297,0.3273262142245309,0.416527724517593,0.487440806097625
0,39,333,Pretell's approach,OpenSees 2-D,158.22102378729463,32.0,0.2937549220398068,1194.9507193914058,0.0082920158037317,0.0098272210187759,0.5717549349571619,0.8846306542731142,0.4273934728376052,0.3379592656351038,0.5145455951262754,0.71360969665613
1,339,2655,GINO,OpenSees 2-D,228.34419907752724,53.0,0.1308274684473872,1106.143249038946,0.0764706393147288,0.0827859421098476,0.1763143241729766,0.1324913101399367,0.2799288566430669,0.1741948686079098,0.2022950016211961,0.1415471278722765
1,339,2655,1D Base Case,OpenSees 2-D,228.34419907752724,53.0,0.1308274684473872,1106.143249038946,0.0063536910739222,0.0032180702848557,0.2091714103028968,0.1762994079490162,0.5338757020150869,0.4501060542595639,0.3124310494420104,0.2639751999015866
1,339,2655,Pretell's approach,OpenSees 2-D,228.34419907752724,53.0,0.1308274684473872,1106.143249038946,0.0068919101273108,0.0025334332514047,0.3235204100464964,0.2625554940009237,0.4115487481467518,0.2418362839974443,0.3392902747783082,0.2514566964479279
2,188,1399,GINO,OpenSees 2-D,189.7341404244504,24.0,0.2855846079066395,895.9073790000466,0.1385370386269976,0.1150762593362448,0.2303200715950222,0.1987257797396709,0.438792733352829,0.4352085184726802,0.2954952398718919,0.2626755861629335
2,188,1399,1D Base Case,OpenSees 2-D,189.7341404244504,24.0,0.2855846079066395,895.9073790000466,0.0054281523737678,0.0059278747994271,0.463008005604254,0.4307121358272908,0.664911754268089,0.5994948539017197,0.5123445994853971,0.4613285956703634
2,188,1399,Pretell's approach,OpenSees 2-D,189.7341404244504,24.0,0.2855846079066395,895.9073790000466,0.0039504453640095,0.0027122524131168,0.3839844724789302,0.4878735586188804,0.6527419936554874,0.4001840444267773,0.4604017716010752,0.4598618172937604
3,403,3229,GINO,OpenSees 2-D,130.42607289849633,83.0,0.2976677659898996,943.9792966622842,0.260721560414657,0.2229765425586326,0.3552967957287104,0.3790209263511688,0.4735796525052296,0.5155910213251669,0.2927974240384395,0.2815803242256247
3,403,3229,1D Base Case,OpenSees 2-D,130.42607289849633,83.0,0.2976677659898996,943.9792966622842,0.6254306102499142,0.6295407720698598,0.701239615717206,0.7325567479693652,0.5585131355266285,0.6643831306844825,0.6347465964150136,0.6528554561132771
3,403,3229,Pretell's approach,OpenSees 2-D,130.42607289849633,83.0,0.2976677659898996,943.9792966622842,0.5091833125589756,0.6212121043968097,0.5972882826234811,0.6828380822668171,0.5543139292589467,0.6746361845573721,0.526694899784682,0.6365990864416655
4,525,4086,GINO,OpenSees 2-D,156.93329174337424,57.0,0.2096807096153497,1044.7896507387577,0.0685964251810869,0.0544773045770306,0.3907010864426214,0.3761405572769134,0.485994110360623,0.3598363931652867,0.3919755567589527,0.3561429079302312
